,exp #,gen #,CHIR99021,SP600125,Dexameth,rhGM-CSF,rhSCF,rhIGF-1,AA,Y27632,ALB,FN,GL,CH,ITS,bME,PY,rep ct #1,rep ct #2,rep ct #3,rep ct #4,mean (rep ct),PC fold chg,count threshold,normalized cell count,Col26 (mean+1),Col27 (log Col26),Residual Col27 Exp#1,Residual Col27 Exp#2,Residual Col27 Exp#3,Col32 (log foldchg w/ +threshold),Col33 (std dev),Col34 (Col32+noise),Penicillin (units/mL),Streptomycin (µg/mL),CHIR99021 (µM),SP600125 (µM),Dexamethasone (nM),Recombinant Human GM-CSF (rhGM-CSF) (ng/mL),Recombinant Human SCF (rhSCF) (ng/mL),Recombinant Human IGF-1 (rhIGF-1) (ng/mL),Ascorbic Acid (AA) (µM),Y27632 (µM),Albumin (ALB) (mg/mL),Fibronectin (FN) (µg/mL),GlutaMAX Supplement (GL) (mM),Cholesterol Concentrate (CH) (µg/mL),ITS Supplement,Sodium Pyruvate (PY) (mM),β-mercaptoethanol (bME) (µM),CHIR Component A (µM),CHIR Component B (µM),SP600125 Active (µM),SP600125 Inactive (µM),Dex Active (nM),Dex Inactive (nM),IGF-1 Active (ng/mL),IGF-1 Inactive (ng/mL),Insulin (µg/mL),Transferrin (µg/mL),Selenium (ng/mL),bME Active (µM),bME Inactive (µM)
77,1,1,1,4,0,2,0,0,5,2,0,0,0,4,1,3,0,0.0,0.0,0.0,16.66666667,4.1666666675,11.79277778,50.0,0.35332359730940344,5.1666666675,0.7132104435206765,-0.16201432204475785,,,-2.442359148453769,0.4980266,-2.442359148453769,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
78,1,1,0,3,2,1,1,0,2,0,4,1,1,0,2,0,2,433.3333333,600.0,866.6666667,583.3333333,620.833333325,11.79277778,50.0,52.64521598786541,621.833333325,2.7936739986513652,-0.11898295983524809,,,-1.3494766247408325,0.4980266,-1.3494766247408325,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
79,1,1,0,4,1,5,3,3,5,1,5,4,5,4,3,1,3,18283.33333,16566.66667,17966.66667,16250.0,17266.6666675,11.79277778,50.0,1464.1729870279978,17267.6666675,4.237233656508284,0.16343971378300992,,,0.06237303813875224,0.4980266,0.06237303813875224,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
80,1,1,1,5,4,3,4,2,3,3,4,2,3,3,1,1,3,100.0,33.33333333,100.0,16.66666667,62.50000000000001,11.79277778,50.0,5.299853958581081,63.50000000000001,1.8027737252919758,-0.7209469865531852,,,-2.1249387366083,0.4980266,-2.1249387366083,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
81,1,1,2,4,1,4,4,0,2,4,0,3,0,1,0,1,1,16.66666667,33.33333333,16.66666667,16.66666667,20.833333335,11.79277778,50.0,1.7666179863350226,21.833333335,1.339120045305273,-0.2474812748933879,,,-2.3258535793787947,0.4980266,-2.3258535793787947,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
82,1,1,4,5,0,3,0,4,2,2,2,5,4,4,3,0,0,0.0,0.0,0.0,16.66666667,4.1666666675,11.79277778,50.0,0.35332359730940344,5.1666666675,0.7132104435206765,-0.6143219709589478,,,-2.442359148453769,0.4980266,-2.442359148453769,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
83,1,1,4,4,5,0,1,1,0,1,5,5,1,3,3,0,2,33.33333333,16.66666667,0.0,33.33333333,20.8333333325,11.79277778,50.0,1.7666179861230287,21.8333333325,1.3391200452555445,0.8348557396946172,,,-2.325853579394123,0.4980266,-2.325853579394123,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
84,1,1,2,1,5,4,4,2,4,4,3,4,3,2,2,2,3,117483.3333,77216.66667,96600.0,111233.3333,100633.3333175,11.79277778,50.0,8533.471519167388,100634.3333175,5.002746173826269,0.37048409059527465,,,0.826866326221845,0.4980266,0.826866326221845,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
85,1,1,4,4,5,2,0,0,5,5,0,2,2,3,3,1,0,0.0,0.0,0.0,0.0,0.0,11.79277778,50.0,0.0,1.0,0.0,-0.6885378606335865,,,-2.4771212547196626,0.4980266,-1.6453950131881139,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
86,1,1,1,3,5,3,2,3,5,3,2,0,0,0,3,1,3,42600.0,26916.66667,33133.33333,33333.33333,33995.8333325,11.79277778,50.0,2882.767229800204,33996.8333325,4.531438466151975,0.2988047042259705,,,0.3559727097208949,0.4980266,0.3559727097208949,100,100,3,10,100,2,50,10,50,10,1,10,2,5,1,1,50,1.2000000000000002,1.7999999999999998,7.0,3.0,90.0,10.0,8.0,2.0,1.0,0.5,5,42.5,7.5
