,exp#,gen #,bME,LS1000,PY,ITS,ALB,MEMAA,ARG,GLU,CB6,IL-2,IL-12,IL-18,IL-21,VS,Cell count,FoldChg,PosCont FC,PC-norm FC,log foldchg,Penicillin (units/mL),Streptomycin (µg/mL),Human Serum Albumin (HSA) (mg/mL),CD3/CD28/CD2 Activator,Sodium Pyruvate (PY) (mM),Insulin (µg/mL),Transferrin (µg/mL),Selenium (ng/mL),MEM Non-Essential Amino Acids (MEMAA) (mM),L-Arginine (ARG) (mM),SG-200 Solution (GLU) (mM),IL-2 (IU/mL),IL-12 (ng/mL),IL-18 (ng/mL),IL-21 (ng/mL),MEM Vitamin Solution (VS),PY Component 1 (mM),PY Component 2 (mM),HSA Fraction 1 (mg/mL),HSA Fraction 2 (mg/mL),Vitamin A (fraction),Vitamin B (fraction)
68,1,1,2,5,4,3,0,2,5,0,1,5,1,2,0,0,1636.666667,0.03273333334,2.430233333,0.013469214208988054,-1.8706577401830928,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
69,1,1,3,5,0,2,2,1,2,0,2,1,4,0,2,3,4071.666667,0.08143333334,2.430233333,0.033508442269399155,-1.4748457610495027,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
70,1,1,2,1,4,2,3,3,3,0,0,5,0,1,0,1,2281.666667,0.04563333334,2.430233333,0.01877734648782385,-1.7263657798610565,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
71,1,1,5,5,2,1,3,0,3,2,1,3,0,0,4,1,8636.666667,0.17273333334,2.430233333,0.0710768513436401,-1.148271819391926,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
72,1,1,4,3,0,1,1,1,5,1,3,4,3,4,2,3,925.0,0.0185,2.430233333,0.007612437764221877,-2.118476244935817,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
73,1,1,5,2,4,2,2,1,5,5,3,0,4,4,1,0,568.3333333,0.011366666666000001,2.430233333,0.004677191490896237,-2.3300148490914676,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
74,1,1,1,5,2,1,1,3,4,2,0,5,4,0,4,2,790.0,0.0158,2.430233333,0.0065014333337678745,-2.1869908863844083,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
75,1,1,5,3,4,0,0,3,3,4,1,5,3,3,4,2,1398.333333,0.02796666666,2.430233333,0.01150781132010751,-1.9390072673333199,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
76,1,1,5,4,1,0,2,1,5,4,3,4,0,2,1,2,10488.33333,0.20976666659999998,2.430233333,0.0863154429459881,-1.0639114964490326,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
77,1,1,2,4,1,2,1,2,3,2,3,5,1,2,4,2,6810.0,0.1362,2.430233333,0.05604400126956863,-1.2514708657620648,100,100,4,1 bead per cell or 1:1 ratio,1,10,5.5,6.7,1,0.4,25,350,10,10,50,1,0.5,0.5,3.2,0.8,0.3,0.7
